direction_id,route_id,service_id,shape_id,trip_headsign,trip_id,trip_short_name
1,ONTLN001,weekday_service,,Exhibition GO,OLN01,
1,ONTLN001,weekday_service,,Exhibition GO,OLN02,
1,ONTLN001,weekday_service,,Exhibition GO,OLN03,
1,ONTLN001,weekday_service,,Exhibition GO,OLN04,
1,ONTLN001,weekday_service,,Exhibition GO,OLN05,
1,ONTLN001,weekday_service,,Exhibition GO,OLN06,
1,ONTLN001,weekday_service,,Exhibition GO,OLN07,
1,ONTLN001,weekday_service,,Exhibition GO,OLN08,
1,ONTLN001,weekday_service,,Exhibition GO,OLN09,
1,ONTLN001,weekday_service,,Exhibition GO,OLN010,
1,ONTLN001,weekday_service,,Exhibition GO,OLN011,
1,ONTLN001,weekday_service,,Exhibition GO,OLN012,
1,ONTLN001,weekday_service,,Exhibition GO,OLN013,
1,ONTLN001,weekday_service,,Exhibition GO,OLN014,
1,ONTLN001,weekday_service,,Exhibition GO,OLN015,
1,ONTLN001,weekday_service,,Exhibition GO,OLN016,
1,ONTLN001,weekday_service,,Exhibition GO,OLN017,
1,ONTLN001,weekday_service,,Exhibition GO,OLN018,
1,ONTLN001,weekday_service,,Exhibition GO,OLN019,
1,ONTLN001,weekday_service,,Exhibition GO,OLN020,
1,ONTLN001,weekday_service,,Exhibition GO,OLN021,
1,ONTLN001,weekday_service,,Exhibition GO,OLN022,
1,ONTLN001,weekday_service,,Exhibition GO,OLN023,
1,ONTLN001,weekday_service,,Exhibition GO,OLN024,
1,ONTLN001,weekday_service,,Exhibition GO,OLN025,
1,ONTLN001,weekday_service,,Exhibition GO,OLN026,
1,ONTLN001,weekday_service,,Exhibition GO,OLN027,
1,ONTLN001,weekday_service,,Exhibition GO,OLN028,
1,ONTLN001,weekday_service,,Exhibition GO,OLN029,
1,ONTLN001,weekday_service,,Exhibition GO,OLN030,
1,ONTLN001,weekday_service,,Exhibition GO,OLN031,
1,ONTLN001,weekday_service,,Exhibition GO,OLN032,
1,ONTLN001,weekday_service,,Exhibition GO,OLN033,
1,ONTLN001,weekday_service,,Exhibition GO,OLN034,
1,ONTLN001,weekday_service,,Exhibition GO,OLN035,
1,ONTLN001,weekday_service,,Exhibition GO,OLN036,
1,ONTLN001,weekday_service,,Exhibition GO,OLN037,
1,ONTLN001,weekday_service,,Exhibition GO,OLN038,
1,ONTLN001,weekday_service,,Exhibition GO,OLN039,
1,ONTLN001,weekday_service,,Exhibition GO,OLN040,
1,ONTLN001,weekday_service,,Exhibition GO,OLN041,
1,ONTLN001,weekday_service,,Exhibition GO,OLN042,
1,ONTLN001,weekday_service,,Exhibition GO,OLN043,
1,ONTLN001,weekday_service,,Exhibition GO,OLN044,
1,ONTLN001,weekday_service,,Exhibition GO,OLN045,
1,ONTLN001,weekday_service,,Exhibition GO,OLN046,
1,ONTLN001,weekday_service,,Exhibition GO,OLN047,
1,ONTLN001,weekday_service,,Exhibition GO,OLN048,
1,ONTLN001,weekday_service,,Exhibition GO,OLN049,
1,ONTLN001,weekday_service,,Exhibition GO,OLN050,
1,ONTLN001,weekday_service,,Exhibition GO,OLN051,
1,ONTLN001,weekday_service,,Exhibition GO,OLN052,
1,ONTLN001,weekday_service,,Exhibition GO,OLN053,
1,ONTLN001,weekday_service,,Exhibition GO,OLN054,
1,ONTLN001,weekday_service,,Exhibition GO,OLN055,
1,ONTLN001,weekday_service,,Exhibition GO,OLN056,
1,ONTLN001,weekday_service,,Exhibition GO,OLN057,
1,ONTLN001,weekday_service,,Exhibition GO,OLN058,
1,ONTLN001,weekday_service,,Exhibition GO,OLN059,
1,ONTLN001,weekday_service,,Exhibition GO,OLN060,
1,ONTLN001,weekday_service,,Exhibition GO,OLN061,
1,ONTLN001,weekday_service,,Exhibition GO,OLN062,
1,ONTLN001,weekday_service,,Exhibition GO,OLN063,
1,ONTLN001,weekday_service,,Exhibition GO,OLN064,
1,ONTLN001,weekday_service,,Exhibition GO,OLN065,
1,ONTLN001,weekday_service,,Exhibition GO,OLN066,
1,ONTLN001,weekday_service,,Exhibition GO,OLN067,
1,ONTLN001,weekday_service,,Exhibition GO,OLN068,
1,ONTLN001,weekday_service,,Exhibition GO,OLN069,
1,ONTLN001,weekday_service,,Exhibition GO,OLN070,
1,ONTLN001,weekday_service,,Exhibition GO,OLN071,
1,ONTLN001,weekday_service,,Exhibition GO,OLN072,
1,ONTLN001,weekday_service,,Exhibition GO,OLN073,
1,ONTLN001,weekday_service,,Exhibition GO,OLN074,
1,ONTLN001,weekday_service,,Exhibition GO,OLN075,
1,ONTLN001,weekday_service,,Exhibition GO,OLN076,
0,ONTLN001,weekday_service,,Ontario Science Centre,OLN101,
0,ONTLN001,weekday_service,,Ontario Science Centre,OLN102,
0,ONTLN001,weekday_service,,Ontario Science Centre,OLN103,
0,ONTLN001,weekday_service,,Ontario Science Centre,OLN104,
0,ONTLN001,weekday_service,,Ontario Science Centre,OLN105,
0,ONTLN001,weekday_service,,Ontario Science Centre,OLN106,
0,ONTLN001,weekday_service,,Ontario Science Centre,OLN107,
0,ONTLN001,weekday_service,,Ontario Science Centre,OLN108,
0,ONTLN001,weekday_service,,Ontario Science Centre,OLN109,
0,ONTLN001,weekday_service,,Ontario Science Centre,OLN1010,
0,ONTLN001,weekday_service,,Ontario Science Centre,OLN1011,
0,ONTLN001,weekday_service,,Ontario Science Centre,OLN1012,
0,ONTLN001,weekday_service,,Ontario Science Centre,OLN1013,
0,ONTLN001,weekday_service,,Ontario Science Centre,OLN1014,
0,ONTLN001,weekday_service,,Ontario Science Centre,OLN1015,
0,ONTLN001,weekday_service,,Ontario Science Centre,OLN1016,
0,ONTLN001,weekday_service,,Ontario Science Centre,OLN1017,
0,ONTLN001,weekday_service,,Ontario Science Centre,OLN1018,
0,ONTLN001,weekday_service,,Ontario Science Centre,OLN1019,
0,ONTLN001,weekday_service,,Ontario Science Centre,OLN1020,
0,ONTLN001,weekday_service,,Ontario Science Centre,OLN1021,
0,ONTLN001,weekday_service,,Ontario Science Centre,OLN1022,
0,ONTLN001,weekday_service,,Ontario Science Centre,OLN1023,
0,ONTLN001,weekday_service,,Ontario Science Centre,OLN1024,
0,ONTLN001,weekday_service,,Ontario Science Centre,OLN1025,
0,ONTLN001,weekday_service,,Ontario Science Centre,OLN1026,
0,ONTLN001,weekday_service,,Ontario Science Centre,OLN1027,
0,ONTLN001,weekday_service,,Ontario Science Centre,OLN1028,
0,ONTLN001,weekday_service,,Ontario Science Centre,OLN1029,
0,ONTLN001,weekday_service,,Ontario Science Centre,OLN1030,
0,ONTLN001,weekday_service,,Ontario Science Centre,OLN1031,
0,ONTLN001,weekday_service,,Ontario Science Centre,OLN1032,
0,ONTLN001,weekday_service,,Ontario Science Centre,OLN1033,
0,ONTLN001,weekday_service,,Ontario Science Centre,OLN1034,
0,ONTLN001,weekday_service,,Ontario Science Centre,OLN1035,
0,ONTLN001,weekday_service,,Ontario Science Centre,OLN1036,
0,ONTLN001,weekday_service,,Ontario Science Centre,OLN1037,
0,ONTLN001,weekday_service,,Ontario Science Centre,OLN1038,
0,ONTLN001,weekday_service,,Ontario Science Centre,OLN1039,
0,ONTLN001,weekday_service,,Ontario Science Centre,OLN1040,
0,ONTLN001,weekday_service,,Ontario Science Centre,OLN1041,
0,ONTLN001,weekday_service,,Ontario Science Centre,OLN1042,
0,ONTLN001,weekday_service,,Ontario Science Centre,OLN1043,
0,ONTLN001,weekday_service,,Ontario Science Centre,OLN1044,
0,ONTLN001,weekday_service,,Ontario Science Centre,OLN1045,
0,ONTLN001,weekday_service,,Ontario Science Centre,OLN1046,
0,ONTLN001,weekday_service,,Ontario Science Centre,OLN1047,
0,ONTLN001,weekday_service,,Ontario Science Centre,OLN1048,
